"dep";"jour";"nb"
"01";2020-03-18;1
"02";2020-03-18;4
"03";2020-03-18;2
"04";2020-03-18;2
"05";2020-03-18;2
"06";2020-03-18;5
"07";2020-03-18;3
"08";2020-03-18;1
"09";2020-03-18;1
"10";2020-03-18;1
"11";2020-03-18;3
"12";2020-03-18;1
"13";2020-03-18;12
"14";2020-03-18;1
"15";2020-03-18;1
"16";2020-03-18;1
"17";2020-03-18;2
"18";2020-03-18;0
"19";2020-03-18;0
"21";2020-03-18;2
"22";2020-03-18;2
"23";2020-03-18;0
"24";2020-03-18;1
"25";2020-03-18;2
"26";2020-03-18;4
"27";2020-03-18;1
"28";2020-03-18;2
"29";2020-03-18;3
"2A";2020-03-18;1
"2B";2020-03-18;0
"30";2020-03-18;2
"31";2020-03-18;4
"32";2020-03-18;1
"33";2020-03-18;5
"34";2020-03-18;6
"35";2020-03-18;1
"36";2020-03-18;0
"37";2020-03-18;1
"38";2020-03-18;3
"39";2020-03-18;2
"40";2020-03-18;0
"41";2020-03-18;0
"42";2020-03-18;4
"43";2020-03-18;1
"44";2020-03-18;3
"45";2020-03-18;1
"46";2020-03-18;1
"47";2020-03-18;1
"48";2020-03-18;1
"49";2020-03-18;3
"50";2020-03-18;3
"51";2020-03-18;3
"52";2020-03-18;2
"53";2020-03-18;1
"54";2020-03-18;5
"55";2020-03-18;1
"56";2020-03-18;3
"57";2020-03-18;8
"58";2020-03-18;0
"59";2020-03-18;9
"60";2020-03-18;8
"61";2020-03-18;3
"62";2020-03-18;8
"63";2020-03-18;1
"64";2020-03-18;2
"65";2020-03-18;0
"66";2020-03-18;1
"67";2020-03-18;8
"68";2020-03-18;8
"69";2020-03-18;9
"70";2020-03-18;1
"71";2020-03-18;3
"72";2020-03-18;1
"73";2020-03-18;2
"74";2020-03-18;2
"75";2020-03-18;15
"76";2020-03-18;5
"77";2020-03-18;4
"78";2020-03-18;4
"79";2020-03-18;1
"80";2020-03-18;4
"81";2020-03-18;2
"82";2020-03-18;1
"83";2020-03-18;2
"84";2020-03-18;4
"85";2020-03-18;1
"86";2020-03-18;1
"87";2020-03-18;1
"88";2020-03-18;3
"89";2020-03-18;2
"90";2020-03-18;1
"91";2020-03-18;2
"92";2020-03-18;10
"93";2020-03-18;7
"94";2020-03-18;8
"95";2020-03-18;4
"971";2020-03-18;0
"972";2020-03-18;1
"973";2020-03-18;0
"974";2020-03-18;1
"976";2020-03-18;0
"01";2020-03-19;1
"02";2020-03-19;5
